	вакансия	зарплата от	зарплата до	Валюта	Локация	Опубликовано	Работодатель	Роль	Опыт	Ссылка на вакансию	средняя
35	Junior Fronted-разработчик	5700	5700	RUR	Томск	2024-07-15	Школа цифровых технологий	Учитель, преподаватель, педагог	От 1 года до 3 лет	https://hh.ru/vacancy/103886325	5700.0
36	Junior Python разработчик	230000	230000	KZT	Астана	2024-07-03	Жеті Аспан	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103215804	230000.0
37	Junior программист Python	60000	60000	RUR	Москва	2024-07-02	ПерилаГлавСнаб	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103110598	60000.0
38	Разработчик Python	1500	3000	USD	Тбилиси	2024-07-14	Павлов Владимир	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103708190	2250.0
39	Python Backend Developer	75000	75000	RUR	Красноярск	2024-07-01	Бибинет Софт	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103040866	75000.0
40	Junior+ Python разработчик	70000	100000	RUR	Москва	2024-07-13	Leads	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102483362	85000.0
41	Тестировщик	50000	80000	RUR	Красноярск	2024-06-24	IT-парк Питерский мостик	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/102605379	65000.0
42	Разработчик Python	150000	150000	RUR	Щелково (Московская область)	2024-07-12	Газпром космические системы	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103765013	150000.0
43	Python Backend разработчик	80000	130000	RUR	Ростов-на-Дону	2024-07-15	Научно-производственный центр Космос-2	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103597119	105000.0
44	Backend Разработчик (Middle +) Python	150000	250000	RUR	Москва	2024-07-05	CosmoMedia	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103363066	200000.0
45	Программист	80000	80000	RUR	Томск	2024-07-16	Паритет	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103624404	80000.0
46	Инженер-программист	150000	400000	KZT	Костанай	2024-06-22	SKP-Service	Мастер по ремонту оборудования, техники	От 1 года до 3 лет	https://hh.ru/vacancy/102492111	275000.0
47	Программист на Python (инженер-программист)	60000	60000	RUR	Санкт-Петербург	2024-07-02	Государственный научно-исследовательский институт прикладных проблем, ФГУП	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103147079	60000.0
48	Разработчик Python (Middle)	90000	150000	RUR	Санкт-Петербург	2024-07-15	Единая Информационная Система ЖКХ	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103794687	120000.0
49	Frontend Javascript разработчик	120000	180000	RUR	Москва	2024-07-02	НОРСИ-ТРАНС	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103156274	150000.0
50	Разработчик Python	800000	1000000	RUR	Москва	2024-06-22	Маер Эдгар	Другое	От 1 года до 3 лет	https://hh.ru/vacancy/102469377	900000.0
51	Python разработчик (чат-боты)	35000	50000	RUR	Санкт-Петербург	2024-06-25	Береснев Кирилл Евгеньевич	Другое	От 1 года до 3 лет	https://hh.ru/vacancy/102678009	42500.0
52	Junior Python Разработчик	50000	50000	RUR	Москва	2024-07-16	О-комплекс	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103992155	50000.0
53	Python developer jun+	40000	40000	RUR	Москва	2024-07-16	Петрова Анастасия Андреевна	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103968665	40000.0
54	Frontend-разработчик	80000	200000	RUR	Санкт-Петербург	2024-07-15	Атим	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103908864	140000.0
55	Бэкэнд разработчик (Python/Django)	80000	110000	RUR	Москва	2024-07-15	DM	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103920430	95000.0
56	Python Developer (Backend & Qt)	90000	130000	RUR	Москва	2024-07-09	МООМАЙНД	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103602017	110000.0
57	Программист-разработчик	100000	100000	RUR	Москва	2024-07-15	HD LED TECH	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103764869	100000.0
58	Intern Python Developer / Стажер Python-разработчик	150000	150000	RUR	Москва	2024-07-04	РЕВТЕХ	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103317574	150000.0
59	Тестировщик (ручное тестирование)	150000	200000	RUR	Москва	2024-07-12	Rubbles	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/103794585	175000.0
60	Junior Python Developer	100000	100000	RUR	Москва	2024-07-15	MostFinance	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103930739	100000.0
61	Разработчик Telagram-ботов	500	500	USD	Москва	2024-06-24	Платформа Думайбэст	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102578393	500.0
62	Backend-разработчик (Python)	40000	70000	RUR	Оренбург	2024-07-15	Москалев Сергей Юрьевич	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103936271	55000.0
63	Python Engineer	200000	700000	KZT	Алматы	2024-07-15	ioka fintech	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103768469	450000.0
64	Junior Python-разработчик	40000	60000	RUR	Москва	2024-06-19	EasyDev	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102306596	50000.0
65	Программист Python	115000	220000	RUR	Ярославль	2024-07-15	Тензор	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103874722	167500.0
66	Junior Product Analyst	120000	120000	RUR	Москва	2024-07-09	Лэтуаль Диджитал	Продуктовый аналитик	От 1 года до 3 лет	https://hh.ru/vacancy/103140775	120000.0
67	Middle Python Developer	120000	150000	RUR	Москва	2024-07-15	Койфман Дана Владимировна	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103887746	135000.0
68	Middle Python Developer	80000	120000	RUR	Санкт-Петербург	2024-07-11	Buzz	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103726595	100000.0
69	Программист Python (веб и мобильные проекты)	50000	50000	RUR	Волгоград	2024-07-13	Web++	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102942268	50000.0
70	Junior+ Backend Разработчик (Python)	80000	120000	RUR	Москва	2024-07-02	Авангард	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103120243	100000.0
71	Web разработчик	300000	400000	RUR	Москва	2024-07-16	ГК АВТОРУСЬ	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103963427	350000.0
72	Программист Python	30000	40000	RUR	Краснодар	2024-06-19	Кольба Владимир Сергеевич	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102306085	35000.0
73	Python разработчик	150000	250000	RUR	Москва	2024-07-06	Сошал Системс	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103415524	200000.0
74	Python разработчик	100000	100000	RUR	Москва	2024-06-26	Soft Media Group	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102758854	100000.0
75	Python developer (в отдел системной разработки)	100000	100000	RUR	Москва	2024-07-15	АВ Софт	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103297432	100000.0
76	Full-stack разработчик (Бэкенд-разработчик (backend developer))	110000	140000	RUR	Москва	2024-06-24	Инкейс	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102587771	125000.0
77	Frontend Developer	3000	5000	USD	Москва	2024-06-29	Podscribe	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102971023	4000.0
78	Разработчик Python	75000	100000	RUR	Москва	2024-07-11	Quins	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103712003	87500.0
79	Middle Python Developer	200000	200000	RUR	Москва	2024-06-17	Цай Галина Вячеславовна	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102136724	200000.0
80	Стажер-разработчик (в отдел разработки высоконагруженных потоковых сервисов)	40000	40000	RUR	Москва	2024-07-12	Mediascope	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103791770	40000.0
81	Программист-разработчик	60000	120000	RUR	Ижевск	2024-07-02	Банки Промо	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103126422	90000.0
82	Junior Backend Developer (Python и SQL)	70000	90000	RUR	Москва	2024-07-16	e-Comet	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102478946	80000.0
83	Middle Python backend разработчик	130000	150000	RUR	Москва	2024-07-04	Гилядов Гиляд Перисович	Другое	От 1 года до 3 лет	https://hh.ru/vacancy/103297882	140000.0
84	Backend разработчик	140000	180000	RUR	Москва	2024-07-04	Эдтех Инвест	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103293978	160000.0
85	Junior Fronted-разработчик	5700	5700	RUR	Томск	2024-07-15	Школа цифровых технологий	Учитель, преподаватель, педагог	От 1 года до 3 лет	https://hh.ru/vacancy/103886325	5700.0
86	Junior Python разработчик	230000	230000	KZT	Астана	2024-07-03	Жеті Аспан	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103215804	230000.0
87	Junior программист Python	60000	60000	RUR	Москва	2024-07-02	ПерилаГлавСнаб	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103110598	60000.0
88	Разработчик Python	1500	3000	USD	Тбилиси	2024-07-14	Павлов Владимир	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103708190	2250.0
89	Python Backend Developer	75000	75000	RUR	Красноярск	2024-07-01	Бибинет Софт	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103040866	75000.0
90	Junior+ Python разработчик	70000	100000	RUR	Москва	2024-07-13	Leads	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102483362	85000.0
91	Тестировщик	50000	80000	RUR	Красноярск	2024-06-24	IT-парк Питерский мостик	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/102605379	65000.0
92	Разработчик Python	150000	150000	RUR	Щелково (Московская область)	2024-07-12	Газпром космические системы	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103765013	150000.0
93	Python Backend разработчик	80000	130000	RUR	Ростов-на-Дону	2024-07-15	Научно-производственный центр Космос-2	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103597119	105000.0
94	Backend Разработчик (Middle +) Python	150000	250000	RUR	Москва	2024-07-05	CosmoMedia	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103363066	200000.0
95	Программист	80000	80000	RUR	Томск	2024-07-16	Паритет	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103624404	80000.0
96	Инженер-программист	150000	400000	KZT	Костанай	2024-06-22	SKP-Service	Мастер по ремонту оборудования, техники	От 1 года до 3 лет	https://hh.ru/vacancy/102492111	275000.0
97	Программист на Python (инженер-программист)	60000	60000	RUR	Санкт-Петербург	2024-07-02	Государственный научно-исследовательский институт прикладных проблем, ФГУП	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103147079	60000.0
